method,mean_exam,per5,per10,per20
000_win1,0.1021,0.5924,0.7089,0.8025
001_win1,0.2788,0.081,0.1722,0.3722
010_win1,0.134,0.3215,0.5873,0.7899
011_win1,0.3228,0.0532,0.1114,0.2633
100_win1,0.1014,0.5747,0.7063,0.8051
101_win1,0.2646,0.0937,0.1873,0.4076
110_win1,0.1296,0.3722,0.5949,0.7899
111_win1,0.2934,0.081,0.157,0.3215
200_win1,0.1091,0.5418,0.6759,0.7949
201_win1,0.2634,0.081,0.1747,0.4177
210_win1,0.1347,0.362,0.5873,0.7772
211_win1,0.2969,0.0633,0.1418,0.3266
300_win1,0.1035,0.5924,0.7063,0.7975
301_win1,0.2828,0.0785,0.1671,0.3646
310_win1,0.1365,0.3139,0.5772,0.7873
311_win1,0.3387,0.0481,0.0962,0.2253
400_win1,0.1083,0.5468,0.6759,0.7924
401_win1,0.2621,0.081,0.1797,0.4203
410_win1,0.1338,0.3595,0.5772,0.7848
411_win1,0.2953,0.0633,0.1418,0.3266
001_win2,0.282,0.0785,0.1544,0.3468
010_win2,0.1357,0.3139,0.5823,0.7924
011_win2,0.323,0.0532,0.1013,0.2608
100_win2,0.1017,0.562,0.7063,0.8101
101_win2,0.266,0.081,0.1747,0.4
110_win2,0.1329,0.3519,0.5924,0.7899
111_win2,0.2959,0.0684,0.1392,0.3215
200_win2,0.1111,0.5215,0.6759,0.7975
201_win2,0.2681,0.0785,0.1646,0.4127
210_win2,0.1377,0.3392,0.5823,0.7772
211_win2,0.2995,0.0582,0.1266,0.3165
300_win2,0.0992,0.5975,0.7139,0.8152
301_win2,0.287,0.0734,0.1443,0.3367
310_win2,0.1389,0.3063,0.5772,0.7823
311_win2,0.337,0.0405,0.0962,0.2152
400_win2,0.1104,0.519,0.6785,0.8
401_win2,0.2667,0.0785,0.1671,0.4127
410_win2,0.1372,0.3392,0.5797,0.7848
411_win2,0.298,0.0582,0.1291,0.319
000_win3,0.0989,0.5747,0.7089,0.8304
001_win3,0.2855,0.0734,0.1595,0.3418
010_win3,0.1376,0.3165,0.5722,0.7823
