METHOD,EXAM,PER5,PER10,PER20
P_S,0.3573,0.0127,0.038,0.1747
gp02,0.2073,0.1063,0.2608,0.5696
muse,0.1105,0.6152,0.6962,0.7899
ample,0.1036,0.5671,0.6759,0.8253
tarantula,0.0995,0.6127,0.6937,0.8177
zoltar,0.0993,0.6177,0.6886,0.8177
jaccard,0.1059,0.5899,0.6608,0.8051
dstar2,0.1064,0.5823,0.6608,0.8051
ochiai,0.0994,0.6152,0.6835,0.8177
P_S_win1,0.3612,0.0059,0.0235,0.1882
gp02_win1,0.2348,0.0706,0.2176,0.4706
muse_win1,0.1514,0.4176,0.5412,0.6765
ample_win1,0.1396,0.3941,0.5471,0.7
tarantula_win1,0.141,0.3765,0.5059,0.7176
zoltar_win1,0.1301,0.4471,0.5529,0.7176
jaccard_win1,0.1494,0.3529,0.4941,0.7059
dstar2_win1,0.1513,0.3412,0.4941,0.7118
ochiai_win1,0.1319,0.4353,0.5353,0.7235
P_S_win2,0.3463,0.0152,0.0405,0.1975
gp02_win2,0.2141,0.119,0.2709,0.5392
muse_win2,0.115,0.5646,0.6962,0.7899
ample_win2,0.1076,0.5443,0.6684,0.8127
tarantula_win2,0.1086,0.519,0.6709,0.8152
zoltar_win2,0.0948,0.6127,0.7139,0.8304
jaccard_win2,0.1184,0.4633,0.643,0.8101
dstar2_win2,0.1194,0.4608,0.6456,0.8076
ochiai_win2,0.0987,0.5873,0.7013,0.8253
P_S_win3,0.3422,0.0127,0.0481,0.2051
gp02_win3,0.2175,0.1165,0.2684,0.5392
muse_win3,0.1182,0.562,0.6835,0.7899
ample_win3,0.1097,0.5342,0.6633,0.8203
tarantula_win3,0.1123,0.4886,0.6506,0.8101
zoltar_win3,0.0943,0.6203,0.7114,0.8354
jaccard_win3,0.1245,0.4253,0.6278,0.7873
dstar2_win3,0.1253,0.4278,0.6304,0.7823
ochiai_win3,0.099,0.5797,0.6886,0.8304
P_S_win4,0.3406,0.0127,0.0557,0.2101
gp02_win4,0.2215,0.1139,0.2557,0.5316
muse_win4,0.1199,0.5443,0.6658,0.7899
ample_win4,0.1117,0.5165,0.6582,0.8177
tarantula_win4,0.1138,0.4658,0.6633,0.8101
zoltar_win4,0.0939,0.6278,0.7114,0.8329
jaccard_win4,0.1273,0.4152,0.6101,0.7924
dstar2_win4,0.1281,0.4203,0.6152,0.7848
ochiai_win4,0.0998,0.5797,0.6937,0.8253
P_S_win5,0.3396,0.0127,0.0608,0.2127
gp02_win5,0.2236,0.1165,0.2557,0.5165
muse_win5,0.1224,0.5342,0.6506,0.7797
ample_win5,0.1127,0.5089,0.6557,0.8101
tarantula_win5,0.1168,0.4633,0.6329,0.8101
zoltar_win5,0.0956,0.6253,0.7165,0.8304
jaccard_win5,0.1309,0.3975,0.5797,0.7873
dstar2_win5,0.1319,0.4,0.5848,0.7823
ochiai_win5,0.1034,0.5722,0.6937,0.8152
P_S_win6,0.3395,0.0101,0.0532,0.2203
gp02_win6,0.2254,0.1165,0.2481,0.5139
muse_win6,0.1268,0.5139,0.6506,0.7747
ample_win6,0.1127,0.5038,0.6582,0.8177
tarantula_win6,0.117,0.4633,0.6329,0.8203
zoltar_win6,0.0961,0.6127,0.7139,0.8304
jaccard_win6,0.1321,0.3797,0.5924,0.7747
dstar2_win6,0.1331,0.3823,0.5899,0.7722
ochiai_win6,0.1031,0.5671,0.6835,0.8253
P_S_win7,0.3396,0.0127,0.0532,0.2304
gp02_win7,0.2267,0.1165,0.238,0.519
muse_win7,0.1272,0.519,0.6532,0.7797
ample_win7,0.1125,0.4861,0.6633,0.8228
tarantula_win7,0.1192,0.4456,0.6253,0.8051
zoltar_win7,0.0957,0.6101,0.719,0.838
jaccard_win7,0.1334,0.3797,0.5873,0.7848
dstar2_win7,0.1343,0.3797,0.5797,0.7797
ochiai_win7,0.1032,0.5595,0.6861,0.8278
P_S_win8,0.3391,0.0127,0.0582,0.2456
gp02_win8,0.2294,0.1114,0.2506,0.5139
muse_win8,0.1294,0.5241,0.6608,0.7772
ample_win8,0.1148,0.4861,0.6608,0.8278
tarantula_win8,0.1219,0.443,0.6228,0.8051
zoltar_win8,0.0959,0.6,0.719,0.838
jaccard_win8,0.1353,0.3848,0.5696,0.7823
dstar2_win8,0.1363,0.3747,0.5722,0.7797
ochiai_win8,0.1036,0.5671,0.6861,0.8253
P_S_win9,0.3394,0.0152,0.0608,0.238
gp02_win9,0.2307,0.1139,0.2456,0.5114
muse_win9,0.1314,0.5089,0.6734,0.7696
ample_win9,0.1161,0.4759,0.6506,0.8228
tarantula_win9,0.1245,0.438,0.6076,0.8025
zoltar_win9,0.0967,0.6051,0.7165,0.838
jaccard_win9,0.1371,0.3797,0.562,0.7772
dstar2_win9,0.138,0.3696,0.562,0.7747
ochiai_win9,0.1044,0.5671,0.6835,0.8228
